,Scene ID,Scene ID,Scene ID,Scene ID,Scene ID,Scene ID,Scene ID,Scene ID,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity LNP in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity nucleus in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Total intensity membrane in entire img,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in membrane mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP in nucleus mask,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per membrane count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Intensity LNP per nucleus count,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in membrane mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Frac intensity LNP in nucleus mask over img,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane inner mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Intensity LNP in membrane outer mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Membrane count,Membrane count,Membrane count,Membrane count,Membrane count,Membrane count,Membrane count,Membrane count,Nucleus count,Nucleus count,Nucleus count,Nucleus count,Nucleus count,Nucleus count,Nucleus count,Nucleus count
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp_10_LNP_np.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,2451111.5,464103.07019659877,1690169.0,2097033.5,2494881.5,2861279.25,3034809.0,12.0,52369632.75,24470683.37672383,7946635.0,40839732.5,50615024.5,65814901.0,106714354.0,12.0,21089884.583333332,7379006.283271512,4846405.0,15809839.5,23945595.5,26564247.5,29610032.0,12.0,1037897.8333333334,471659.7394252524,82049.0,768457.75,1133441.5,1429224.75,1557758.0,12.0,602836.4166666666,295869.7263823013,47670.0,397466.0,631286.5,813691.75,1001100.0,12.0,57312.972470238084,22429.731994948226,23024.722222222223,40692.822916666664,55558.03571428571,68308.66145833333,97359.875,12.0,22321.441123364348,7162.332398926425,10540.18918918919,16484.235416666666,24097.272727272728,26150.94893899204,34726.107142857145,12.0,0.40197190403228733,0.14387195557531637,0.04854484965704613,0.36758991569424904,0.4316752250947543,0.5079365661297396,0.5442913499612368,12.0,0.23254336259394134,0.08958193569543364,0.028204280163699608,0.18953166478678063,0.24537214198387128,0.2970532427489293,0.3406286663357294,12.0,928615.0833333334,426411.5606497081,73409.0,687053.75,1032870.5,1255353.25,1438439.0,12.0,109282.75,54310.53207440105,8640.0,73215.75,117394.0,127481.75,200746.0,12.0,0.8918790498952395,0.02703306286668546,0.838470725910555,0.8705244525532051,0.8951673273129852,0.9132234013381403,0.9265381137310105,12.0,0.10812095010476043,0.027033062866685446,0.07346188626898956,0.08677659866185969,0.10483267268701472,0.12947554744679493,0.16152927408944492,12.0,18.25,6.496502555571379,2.0,16.0,18.0,21.75,28.0,12.0,27.166666666666668,9.684414220172473,2.0,23.5,28.5,32.75,39.0
exp_11_LNP_VTN.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,6138733.666666667,1077963.82895045,4022479.0,5717593.0,6473252.5,6825063.0,7519311.0,12.0,31086489.25,9097682.842647852,16290159.0,25676806.75,28884140.5,34938507.75,47445626.0,12.0,22148322.333333332,5768741.661051022,13580439.0,18932831.25,21328669.5,27530697.0,31056112.0,12.0,3857429.8333333335,1245124.370100421,1619304.0,3232236.25,4097789.5,4696771.75,5386005.0,12.0,2219522.9166666665,706870.6065276803,938617.0,1988279.75,2229500.0,2682924.75,3282094.0,12.0,232495.00124458876,92692.97869440845,96458.83333333333,149819.05844155845,244991.70238095237,295065.125,421664.54545454547,12.0,98146.9721058656,23213.07368936411,44696.04761904762,91639.12,95636.37084398977,111502.54583333334,142644.2142857143,12.0,0.6109721781060434,0.11431093704764814,0.39229335369821416,0.5892380314512645,0.6248479778934746,0.6996880247810892,0.7309812038351212,12.0,0.3531052848099148,0.06945578216036083,0.2120727441978165,0.33108428541593293,0.3511595381906546,0.40317977714184067,0.4538489492356418,12.0,3275783.4166666665,1160492.8549883417,1287458.0,2594356.25,3468741.5,4089354.0,4725273.0,12.0,581646.4166666666,115842.44567786362,331846.0,569921.5,606091.0,665221.25,703678.0,12.0,0.8389055344937573,0.03844597790556788,0.7808523958695103,0.8050018528580943,0.8506684370582109,0.8683824955662535,0.8865484014575064,12.0,0.16109446550624268,0.03844597790556789,0.1134515985424936,0.13161750443374653,0.149331562941789,0.1949981471419057,0.21914760413048975,12.0,17.25,3.695820735518825,11.0,14.75,18.0,21.0,22.0,12.0,22.833333333333332,6.027713773341707,11.0,20.75,23.5,25.5,34.0
exp_12_LNP_A2M.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,2547648.4166666665,364304.8944904799,1850518.0,2405344.25,2521021.5,2714857.0,3246198.0,12.0,68653766.25,25980977.0984406,34174332.0,55941745.25,57656597.5,85126500.5,127019509.0,12.0,25981859.5,5275014.490007303,17437805.0,22589990.25,25933693.5,28248915.5,34700187.0,12.0,1132956.5833333333,327471.8672653655,578351.0,936854.75,1148111.0,1295693.0,1684500.0,12.0,580915.0,165856.0649237766,317655.0,515796.25,563965.5,647557.0,922273.0,12.0,59459.11802056877,20499.70974921066,34824.380952380954,43249.69134615385,56801.40773809524,68250.36842105263,100817.13333333333,12.0,21571.591152220364,7156.777736892953,11765.0,16789.015625,20886.067708333336,25460.161538461536,38428.041666666664,12.0,0.4373275537576325,0.078108697143442,0.31246613901930054,0.41091821920748817,0.444898605495192,0.465273521404978,0.578066618531625,12.0,0.22586203499829063,0.04595190502329994,0.13572378326921467,0.20517049552358974,0.2221177163356069,0.24711973343268367,0.31649464795073756,12.0,1005942.75,313100.27280587546,492923.0,825286.25,1023940.5,1154197.5,1522050.0,12.0,127013.83333333333,21570.065974667654,85428.0,114752.25,124503.5,139562.5,162450.0,12.0,0.882277931242874,0.025249977268482417,0.8417364955039709,0.8691365769160473,0.8855798543874092,0.8980287730982442,0.9208250552787036,12.0,0.1177220687571261,0.02524997726848241,0.07917494472129633,0.10197122690175575,0.1144201456125909,0.13086342308395277,0.15826350449602905,12.0,19.5,3.118857599710626,15.0,17.5,19.5,21.0,26.0,12.0,27.583333333333332,5.017393987344668,20.0,23.75,26.5,32.0,36.0
exp_13_LNP_CR.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,3183809.6666666665,424101.49859809683,2406759.0,3005506.75,3182842.5,3361077.25,3940638.0,12.0,57907333.833333336,23283054.813700378,27164195.0,45611195.0,52469383.5,65829446.75,100667445.0,12.0,26676212.083333332,7053415.175421691,18246236.0,21300446.75,24876926.5,30401898.25,40976437.0,12.0,1259899.1666666667,347790.49936546397,623370.0,1078735.75,1294293.5,1551111.25,1743252.0,12.0,796968.8333333334,210335.58363107333,474623.0,683591.5,785208.0,844062.25,1222142.0,12.0,62228.32755015558,16823.137705674555,32808.94736842105,54465.083333333336,62515.427777777775,74186.88690476191,87162.6,12.0,31296.514920509424,8944.350495995874,20554.176470588234,24247.84107142857,30073.071684587812,34310.44296296296,48885.68,12.0,0.3901208031220242,0.07328298756320677,0.2590080685270108,0.3581928932424172,0.4207730298909147,0.43616091656425726,0.4811727122161341,12.0,0.2467033112856398,0.03367519939215442,0.19720420698541066,0.22846133323494686,0.23443841371987012,0.26408459057819983,0.3101381045404323,12.0,1087372.0833333333,307415.13068915263,530603.0,952065.0,1117479.0,1373022.75,1442055.0,12.0,172527.08333333334,60443.252050555406,92767.0,145336.0,163472.5,177212.5,331587.0,12.0,0.8606157038382793,0.03421811196491179,0.7849563220058583,0.85068797385811,0.8634432020080796,0.8868676896748212,0.8954399831081521,12.0,0.1393842961617208,0.034218111964911806,0.10456001689184787,0.11313231032517876,0.13655679799192044,0.14931202614189,0.21504367799414173,12.0,20.25,1.4222261679238197,18.0,19.0,20.0,21.0,23.0,12.0,25.916666666666668,4.294993561924127,18.0,24.75,26.0,27.25,34.0
exp_14_cellonly_np.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,317393.4166666667,100176.1455015009,182506.0,236269.25,300355.0,399516.5,473377.0,12.0,61594876.583333336,26553095.114792064,31995739.0,41504577.25,51059050.5,80962668.0,119011028.0,12.0,22864662.416666668,6349423.411728236,16657230.0,18435578.5,19983214.5,29208147.75,33414310.0,12.0,116694.5,31950.99175726361,64158.0,93536.5,120643.5,142085.5,167338.0,12.0,56576.25,18407.039335907237,24982.0,42681.0,60813.5,68174.0,83646.0,12.0,7242.886633014316,2690.4018793182804,4140.05,5749.9675,6641.736111111111,8664.18106617647,13944.833333333334,12.0,2156.833350253438,514.6929742204729,1387.888888888889,1759.528409090909,2197.378516624041,2497.1716666666666,3008.36,12.0,0.3839992731217197,0.10660099097560918,0.26783612059680556,0.2958900919879795,0.3548747241892741,0.45906013912819166,0.563993976621874,12.0,0.18644549226382565,0.06499950037689814,0.10429068806305367,0.13237908988639008,0.18289147685571222,0.21312064715282247,0.3057673761191349,12.0,103147.83333333333,29763.65206035202,56133.0,82780.75,99886.0,127325.5,153196.0,12.0,13546.666666666666,4901.049300142189,7071.0,10192.5,12434.5,17399.0,21061.0,12.0,0.8819723837814147,0.034450877669496074,0.8264427395363786,0.8615018700087509,0.8816901516446094,0.9118077613717617,0.9280518646695428,12.0,0.11802761621858514,0.03445087766949608,0.07194813533045719,0.0881922386282383,0.11830984835539063,0.1384981299912491,0.17355726046362147,12.0,16.75,3.6711405213193253,12.0,14.75,16.0,18.5,25.0,12.0,26.333333333333332,7.139306476801299,17.0,21.75,26.0,30.0,42.0
exp_15_LNP_np.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,2410107.5833333335,371798.2877099938,1583479.0,2354943.0,2437714.5,2555393.0,2913132.0,12.0,69137630.16666667,26724805.212203603,37767153.0,49033045.5,64344829.5,83611786.5,115612904.0,12.0,31111534.916666668,6624770.910904254,20556692.0,26451355.0,31265812.5,36328931.0,40285982.0,12.0,979359.6666666666,271389.31556725036,434262.0,811941.0,1082975.0,1176154.5,1255519.0,12.0,572584.6666666666,212339.71755798787,280258.0,426441.5,536846.5,757631.25,949907.0,12.0,58172.96399479532,21243.99480713263,22855.894736842107,47181.92892156863,54216.71630434783,73275.28846153847,93014.53846153847,12.0,22992.388409113366,7341.31704326288,11396.038461538461,18285.560483870966,23448.977272727272,28023.588383838385,36534.88461538462,12.0,0.4009845780813732,0.08002391183635993,0.27424550625552974,0.3306045007510568,0.42478159586987735,0.4634153435265027,0.5114897059925887,12.0,0.23580216173435373,0.07606113215189467,0.11693504980602479,0.1911675442939761,0.2066491951081988,0.3062548606408154,0.38254559483810896,12.0,868215.4166666666,253582.55957253065,370057.0,703835.75,954869.5,1077131.25,1122177.0,12.0,111144.25,30881.448088176294,64205.0,92260.5,104038.5,119708.5,180061.0,12.0,0.8822272313792454,0.027081742759145138,0.8436971842906387,0.8626751996100268,0.8771730837284053,0.9104286109247273,0.9164959500916865,12.0,0.11777276862075466,0.027081742759145135,0.08350404990831349,0.08957138907527276,0.12282691627159473,0.13732480038997313,0.15630281570936136,12.0,17.583333333333332,3.679385653594739,12.0,15.25,17.5,20.0,23.0,12.0,24.75,3.792936017963345,19.0,22.0,25.0,26.25,31.0
exp_16_LNP_VTN.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,3999358.5833333335,923096.0458884062,2217331.0,3373850.75,3851153.0,4774074.5,5234830.0,12.0,20767187.916666668,8003480.627662242,8645733.0,14389836.75,19178410.0,28989933.25,31507188.0,12.0,19272396.25,6266801.67953454,11011315.0,16386629.75,18889994.0,21036366.75,30679783.0,12.0,1879825.6666666667,884646.8366649674,476701.0,1297296.75,1513313.5,2659574.75,3207401.0,12.0,1100807.1666666667,383851.3282243609,611267.0,700103.5,1166038.0,1365139.5,1668032.0,12.0,144389.32935899886,61803.062363499426,28041.235294117647,110421.30128205128,140939.6875,176217.75105042016,246296.36363636365,12.0,69092.32699263011,19531.449422950147,27784.863636363636,56299.82157894737,71287.625,84369.01666666666,92668.44444444444,12.0,0.4454103584133045,0.1267075911613687,0.21498865076977683,0.35096288056794467,0.43940908047495975,0.5454097618527985,0.6291446859711018,12.0,0.2733541092164727,0.06506959750870123,0.16374363257705613,0.23037656649048,0.27199174166009543,0.3150503485126508,0.37449859283835485,12.0,1540232.9166666667,782759.1635644282,302821.0,1087161.75,1220976.5,2245315.75,2624075.0,12.0,339592.75,132777.71108074166,173880.0,223513.25,304781.5,449874.25,583326.0,12.0,0.7981208422711298,0.07771584319082155,0.6352430559197484,0.8002518430340905,0.8166459474195062,0.8400000961619907,0.9018407240353454,12.0,0.2018791577288701,0.07771584319082153,0.09815927596465455,0.15999990383800938,0.18335405258049373,0.1997481569659095,0.36475694408025156,12.0,13.416666666666666,3.553700589355817,8.0,10.75,13.5,15.5,20.0,12.0,16.416666666666668,4.832810839052218,8.0,14.5,16.0,19.25,25.0
exp_17_LNP_A2M.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,2503594.5833333335,469770.432562633,1827086.0,2139849.25,2576567.0,2740522.0,3469626.0,12.0,68574401.83333333,20484973.77175201,36880173.0,54116752.0,69742702.0,82428663.0,102050824.0,12.0,22266781.416666668,6247985.241861651,14519670.0,17075969.25,20631622.5,26457172.25,33316553.0,12.0,869685.5,333560.8824622576,391555.0,625970.5,837036.5,1054456.5,1652198.0,12.0,436118.5,256429.3613437857,228126.0,267753.0,357388.0,529133.5,1136364.0,12.0,61879.72376229507,21748.476820057625,27968.214285714286,44341.455357142855,62766.50882352941,76735.00714285714,103262.375,12.0,22330.95190521624,9018.878179422056,13810.70588235294,18110.424107142855,19012.75,22967.220238095237,47348.5,12.0,0.3430404157720566,0.09905520802321481,0.21430573054579807,0.2590440287487073,0.35603889516444986,0.3941098126073296,0.5571241809789171,12.0,0.172486968648871,0.08417996683285581,0.0803211635347565,0.12794697579125341,0.14011624829328354,0.22396912738852287,0.3831840147451614,12.0,777118.9166666666,321124.6200166076,336356.0,557948.25,751967.5,926826.75,1559893.0,12.0,92566.58333333333,30481.131515200836,55199.0,68022.25,88077.0,108344.25,141422.0,12.0,0.8869047829572425,0.03314254329250017,0.8177996438846911,0.8669811000327508,0.8865052165665674,0.911109133226244,0.9441319987071768,12.0,0.11309521704275755,0.03314254329250016,0.05586800129282326,0.088890866773756,0.11349478343343257,0.1330188999672492,0.18220035611530896,12.0,14.333333333333334,3.3933982252531925,10.0,12.0,14.0,16.25,21.0,12.0,18.833333333333332,4.344972713238586,12.0,16.75,19.0,21.25,26.0
exp_18_LNP_CR.czi,12.0,5.5,3.605551275463989,0.0,2.75,5.5,8.25,11.0,12.0,4102512.1666666665,912362.496781628,2974672.0,3466631.75,3872307.5,4704818.5,5889906.0,12.0,58942941.833333336,20882704.690356612,20062192.0,45099908.25,54724534.0,76739796.75,87323378.0,12.0,22528599.916666668,6503918.3912255885,6504794.0,21577903.75,23546603.0,25532570.0,32886433.0,12.0,1058542.3333333333,466237.01869958674,288078.0,880015.75,1108059.5,1201338.25,2040369.0,12.0,545015.1666666666,295748.7741638573,150892.0,313989.0,516247.0,791086.0,1112999.0,12.0,71024.84464728224,30521.636374306792,37887.38461538462,48650.01397515528,69969.02857142857,78060.38445378152,145740.64285714287,12.0,28795.99094978061,13289.585024456312,14334.882352941177,19358.567733990145,28900.041666666668,34044.4375,61833.27777777778,12.0,0.25605402261145166,0.09180503621075034,0.0722491076641567,0.19989894787678228,0.28790755892479003,0.3258928052542706,0.37454556370112935,12.0,0.1333695765553584,0.06555724549844563,0.03784326589902711,0.07838924918928226,0.14274450420572057,0.17546499509846764,0.22967651042332377,12.0,911482.1666666666,409775.686187596,247623.0,784913.25,933943.5,1036337.0,1846850.0,12.0,147060.16666666666,90203.09507271337,40455.0,95669.0,140131.5,183865.75,370934.0,12.0,0.8632130717586897,0.04744997883123992,0.7459114258138275,0.8529283111528729,0.8755506310951959,0.8928725931280237,0.9158093367504345,12.0,0.13678692824131025,0.04744997883123994,0.08419066324956548,0.10712740687197635,0.12444936890480408,0.14707168884712707,0.25408857418617253,12.0,15.083333333333334,4.7760450228830615,7.0,12.5,14.5,18.0,23.0,12.0,19.5,6.9478577470129075,4.0,16.75,19.5,24.25,29.0
